#tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
9606	1	Ortholog	10090	117586
9606	9	Ortholog	10090	17960
9606	13	Ortholog	10090	67758
9606	14	Ortholog	10090	227290
9606	15	Ortholog	10090	11298
9606	16	Ortholog	10090	234734
9606	18	Ortholog	10090	268860
9606	19	Ortholog	10090	11303
9606	20	Ortholog	10090	11305
9606	22	Ortholog	10090	11306
9606	23	Ortholog	10090	224742
9606	24	Ortholog	10090	11304
9606	25	Ortholog	10090	11350
9606	27	Ortholog	10090	11352
9606	28	Ortholog	10090	80908
9606	29	Ortholog	10090	109934
9606	30	Ortholog	10090	235674
9606	31	Ortholog	10090	107476
9606	32	Ortholog	10090	100705
9606	33	Ortholog	10090	11363
9606	34	Ortholog	10090	11364
9606	35	Ortholog	10090	11409
9606	36	Ortholog	10090	66885
9606	37	Ortholog	10090	11370
9606	38	Ortholog	10090	110446
9606	40	Ortholog	10090	11418
9606	41	Ortholog	10090	11419
9606	43	Ortholog	10090	11423
9606	47	Ortholog	10090	104112
9606	48	Ortholog	10090	11428
9606	49	Ortholog	10090	11434
9606	50	Ortholog	10090	11429
9606	51	Ortholog	10090	11430
9606	52	Ortholog	10090	11431
9606	53	Ortholog	10090	11432
9606	54	Ortholog	10090	11433
9606	55	Ortholog	10090	56318
9606	56	Ortholog	10090	11451
9606	58	Ortholog	10090	11459
9606	59	Ortholog	10090	11475
9606	60	Ortholog	10090	11461
9606	70	Ortholog	10090	11464
9606	71	Ortholog	10090	11465
9606	72	Ortholog	10090	11468
9606	81	Ortholog	10090	60595
9606	86	Ortholog	10090	56456
9606	87	Ortholog	10090	109711
9606	88	Ortholog	10090	11472
9606	89	Ortholog	10090	11474
9606	90	Ortholog	10090	11477
9606	91	Ortholog	10090	11479
9606	92	Ortholog	10090	11480
9606	93	Ortholog	10090	11481
9606	94	Ortholog	10090	11482
9606	95	Ortholog	10090	109652
9606	97	Ortholog	10090	66204
9606	98	Ortholog	10090	75572
9606	100	Ortholog	10090	11486
9606	101	Ortholog	10090	11501
9606	102	Ortholog	10090	11487
9606	103	Ortholog	10090	56417
9606	104	Ortholog	10090	110532
9606	105	Ortholog	10090	94191
9606	107	Ortholog	10090	432530
9606	108	Ortholog	10090	210044
9606	111	Ortholog	10090	224129
9606	112	Ortholog	10090	11512
9606	113	Ortholog	10090	11513
9606	114	Ortholog	10090	11514
9606	115	Ortholog	10090	11515
9606	116	Ortholog	10090	11516
9606	117	Ortholog	10090	11517
9606	118	Ortholog	10090	11518
9606	119	Ortholog	10090	11519
9606	120	Ortholog	10090	27360
9606	123	Ortholog	10090	11520
9606	126	Ortholog	10090	11522
9606	127	Ortholog	10090	26876
9606	128	Ortholog	10090	11532
9606	131	Ortholog	10090	11529
9606	132	Ortholog	10090	11534
9606	133	Ortholog	10090	11535
9606	134	Ortholog	10090	11539
9606	135	Ortholog	10090	11540
9606	136	Ortholog	10090	11541
9606	141	Ortholog	10090	11544
9606	142	Ortholog	10090	11545
9606	143	Ortholog	10090	328417
9606	146	Ortholog	10090	11550
9606	147	Ortholog	10090	11548
9606	148	Ortholog	10090	11549
9606	150	Ortholog	10090	11551
9606	151	Ortholog	10090	11552
9606	152	Ortholog	10090	11553
9606	153	Ortholog	10090	11554
9606	154	Ortholog	10090	11555
9606	155	Ortholog	10090	11556
9606	156	Ortholog	10090	110355
9606	157	Ortholog	10090	320129
9606	158	Ortholog	10090	11564
9606	159	Ortholog	10090	11566
9606	160	Ortholog	10090	11771
9606	161	Ortholog	10090	11772
9606	162	Ortholog	10090	11764
9606	163	Ortholog	10090	71770
9606	164	Ortholog	10090	11765
9606	165	Ortholog	10090	11568
9606	166	Ortholog	10090	14797
9606	167	Ortholog	10090	11571
9606	173	Ortholog	10090	280662
9606	174	Ortholog	10090	11576
9606	175	Ortholog	10090	11593
9606	176	Ortholog	10090	11595
9606	177	Ortholog	10090	11596
9606	178	Ortholog	10090	77559
9606	181	Ortholog	10090	11604
9606	182	Ortholog	10090	16449
9606	183	Ortholog	10090	11606
9606	185	Ortholog	10090	11608
9606	186	Ortholog	10090	11609
9606	187	Ortholog	10090	23796
9606	189	Ortholog	10090	11611
9606	190	Ortholog	10090	11614
9606	191	Ortholog	10090	269378
9606	196	Ortholog	10090	11622
9606	197	Ortholog	10090	11625
9606	199	Ortholog	10090	11629
9606	202	Ortholog	10090	11630
9606	203	Ortholog	10090	11636
9606	204	Ortholog	10090	11637
9606	205	Ortholog	10090	11639
9606	207	Ortholog	10090	11651
9606	208	Ortholog	10090	11652
9606	210	Ortholog	10090	17025
9606	211	Ortholog	10090	11655
9606	212	Ortholog	10090	11656
9606	213	Ortholog	10090	11657
9606	214	Ortholog	10090	11658
9606	215	Ortholog	10090	11666
9606	217	Ortholog	10090	11669
9606	218	Ortholog	10090	11670
9606	219	Ortholog	10090	72535
9606	220	Ortholog	10090	56847
9606	221	Ortholog	10090	67689
9606	223	Ortholog	10090	56752
9606	225	Ortholog	10090	26874
9606	226	Ortholog	10090	11674
9606	229	Ortholog	10090	230163
9606	230	Ortholog	10090	11676
9606	231	Ortholog	10090	11677
9606	238	Ortholog	10090	11682
9606	239	Ortholog	10090	11684
9606	240	Ortholog	10090	11689
9606	241	Ortholog	10090	11690
9606	242	Ortholog	10090	11686
9606	247	Ortholog	10090	11688
9606	248	Ortholog	10090	76768
9606	249	Ortholog	10090	11647
9606	257	Ortholog	10090	11694
9606	258	Ortholog	10090	11698
9606	259	Ortholog	10090	11699
9606	262	Ortholog	10090	11702
9606	265	Ortholog	10090	11704
9606	267	Ortholog	10090	23802
9606	268	Ortholog	10090	11705
9606	269	Ortholog	10090	110542
9606	270	Ortholog	10090	229665
9606	271	Ortholog	10090	109674
9606	272	Ortholog	10090	11717
9606	273	Ortholog	10090	218038
9606	274	Ortholog	10090	30948
9606	275	Ortholog	10090	434437
9606	283	Ortholog	10090	11727
9606	284	Ortholog	10090	11600
9606	285	Ortholog	10090	11601
9606	286	Ortholog	10090	11733
9606	287	Ortholog	10090	109676
9606	288	Ortholog	10090	11735
9606	290	Ortholog	10090	16790
9606	291	Ortholog	10090	11739
9606	292	Ortholog	10090	11740
9606	301	Ortholog	10090	16952
9606	302	Ortholog	10090	12306
9606	306	Ortholog	10090	11745
9606	307	Ortholog	10090	11746
9606	308	Ortholog	10090	11747
9606	309	Ortholog	10090	11749
9606	310	Ortholog	10090	11750
9606	311	Ortholog	10090	11744
9606	312	Ortholog	10090	69787
9606	313	Ortholog	10090	27052
9606	314	Ortholog	10090	237940
9606	316	Ortholog	10090	11761
9606	317	Ortholog	10090	11783
9606	318	Ortholog	10090	66401
9606	319	Ortholog	10090	103161
9606	320	Ortholog	10090	319924
9606	321	Ortholog	10090	11784
9606	322	Ortholog	10090	11785
9606	323	Ortholog	10090	11787
9606	324	Ortholog	10090	11789
9606	325	Ortholog	10090	20219
9606	326	Ortholog	10090	11634
9606	327	Ortholog	10090	235606
9606	328	Ortholog	10090	11792
9606	329	Ortholog	10090	11797
9606	331	Ortholog	10090	11798
9606	332	Ortholog	10090	11799
9606	333	Ortholog	10090	11803
9606	334	Ortholog	10090	11804
9606	335	Ortholog	10090	11806
9606	336	Ortholog	10090	11807
9606	337	Ortholog	10090	11808
9606	338	Ortholog	10090	238055
9606	339	Ortholog	10090	11810
9606	341	Ortholog	10090	11812
9606	343	Ortholog	10090	11833
9606	344	Ortholog	10090	11813
9606	345	Ortholog	10090	11814
9606	346	Ortholog	10090	11425
9606	347	Ortholog	10090	11815
9606	348	Ortholog	10090	11816
9606	350	Ortholog	10090	11818
9606	351	Ortholog	10090	11820
9606	353	Ortholog	10090	11821
9606	355	Ortholog	10090	14102
9606	356	Ortholog	10090	14103
9606	357	Ortholog	10090	110380
9606	358	Ortholog	10090	11826
9606	359	Ortholog	10090	11827
9606	360	Ortholog	10090	11828
9606	361	Ortholog	10090	11829
9606	362	Ortholog	10090	11830
9606	363	Ortholog	10090	11831
9606	364	Ortholog	10090	11832
9606	366	Ortholog	10090	64008
9606	367	Ortholog	10090	11835
